Rank,Title,Score,Episodes,Airing,Link
26,Mob Psycho 100 II,8.81,TV (13 eps),Jan 2019 - Apr 2019,https://myanimelist.net/anime/37510/Mob_Psycho_100_II
27,Shingeki no Kyojin: The Final Season Part 2,8.81,TV (12 eps),Jan 2022 - Apr 2022,https://myanimelist.net/anime/48583/Shingeki_no_Kyojin__The_Final_Season_Part_2
28,Gintama.: Shirogane no Tamashii-hen,8.81,TV (12 eps),Jan 2018 - Mar 2018,https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen
29,Kingdom 3rd Season,8.81,TV (26 eps),Apr 2020 - Oct 2021,https://myanimelist.net/anime/40682/Kingdom_3rd_Season
30,Kizumonogatari III: Reiketsu-hen,8.80,Movie (1 eps),Jan 2017 - Jan 2017,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
31,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.79,TV (10 eps),Oct 2016 - Dec 2016,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou
32,Kingdom 4th Season,8.79,TV (26 eps),Apr 2022 -,https://myanimelist.net/anime/50160/Kingdom_4th_Season
33,Spy x Family,8.79,TV (12 eps),Apr 2022 - Jun 2022,https://myanimelist.net/anime/50265/Spy_x_Family
34,Sen to Chihiro no Kamikakushi,8.78,Movie (1 eps),Jul 2001 - Jul 2001,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
35,Shiguang Dailiren,8.78,ONA (11 eps),Apr 2021 - Jul 2021,https://myanimelist.net/anime/44074/Shiguang_Dailiren
36,Monogatari Series: Second Season,8.77,TV (26 eps),Jul 2013 - Dec 2013,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
37,Cowboy Bebop,8.75,TV (26 eps),Apr 1998 - Apr 1999,https://myanimelist.net/anime/1/Cowboy_Bebop
38,Hajime no Ippo,8.75,TV (75 eps),Oct 2000 - Mar 2002,https://myanimelist.net/anime/263/Hajime_no_Ippo
39,Made in Abyss: Retsujitsu no Ougonkyou,8.74,TV (12 eps),Jul 2022 -,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
40,Mushishi Zoku Shou 2nd Season,8.74,TV (10 eps),Oct 2014 - Dec 2014,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
41,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.74,TV (12 eps),Jan 2017 - Mar 2017,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
42,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.73,TV (12 eps),Oct 2021 - Dec 2021,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
43,Odd Taxi,8.73,TV (13 eps),Apr 2021 - Jun 2021,https://myanimelist.net/anime/46102/Odd_Taxi
44,Vinland Saga,8.73,TV (24 eps),Jul 2019 - Dec 2019,https://myanimelist.net/anime/37521/Vinland_Saga
45,86 Part 2,8.72,TV (12 eps),Oct 2021 - Mar 2022,https://myanimelist.net/anime/48569/86_Part_2
46,Ashita no Joe 2,8.71,TV (47 eps),Oct 1980 - Aug 1981,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
47,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,OVA (4 eps),Feb 1999 - Sep 1999,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
48,Mushishi Zoku Shou,8.70,TV (10 eps),Apr 2014 - Jun 2014,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
49,Code Geass: Hangyaku no Lelouch,8.70,TV (25 eps),Oct 2006 - Jul 2007,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
50,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.70,Movie (1 eps),Aug 2020 - Aug 2020,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song
51,Great Teacher Onizuka,8.69,TV (43 eps),Jun 1999 - Sep 2000,https://myanimelist.net/anime/245/Great_Teacher_Onizuka
52,Jujutsu Kaisen,8.67,TV (24 eps),Oct 2020 - Mar 2021,https://myanimelist.net/anime/40748/Jujutsu_Kaisen
53,Made in Abyss,8.67,TV (13 eps),Jul 2017 - Sep 2017,https://myanimelist.net/anime/34599/Made_in_Abyss
54,Mo Dao Zu Shi: Wanjie Pian,8.67,ONA (12 eps),Aug 2021 - Oct 2021,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian
55,Mononoke Hime,8.67,Movie (1 eps),Jul 1997 - Jul 1997,https://myanimelist.net/anime/164/Mononoke_Hime
56,Mushishi,8.67,TV (26 eps),Oct 2005 - Jun 2006,https://myanimelist.net/anime/457/Mushishi
57,Violet Evergarden,8.67,TV (13 eps),Jan 2018 - Apr 2018,https://myanimelist.net/anime/33352/Violet_Evergarden
58,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.66,Movie (1 eps),Jan 2020 - Jan 2020,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
59,One Piece,8.66,TV (? eps),Oct 1999 -,https://myanimelist.net/anime/21/One_Piece
60,Shigatsu wa Kimi no Uso,8.66,TV (22 eps),Oct 2014 - Mar 2015,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
61,Hajime no Ippo: New Challenger,8.66,TV (26 eps),Jan 2009 - Jul 2009,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
62,Howl no Ugoku Shiro,8.66,Movie (1 eps),Nov 2004 - Nov 2004,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
63,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.65,TV (12 eps),Apr 2020 - Jun 2020,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
64,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.65,Movie (1 eps),Oct 2020 - Oct 2020,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
65,Natsume Yuujinchou Shi,8.65,TV (13 eps),Jan 2012 - Mar 2012,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
66,Haikyuu!! Second Season,8.64,TV (25 eps),Oct 2015 - Mar 2016,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
67,Evangelion: 3.0+1.0 Thrice Upon a Time,8.63,Movie (1 eps),Mar 2021 - Mar 2021,https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time
68,Natsume Yuujinchou Roku,8.63,TV (11 eps),Apr 2017 - Jun 2017,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
69,Tengen Toppa Gurren Lagann,8.63,TV (27 eps),Apr 2007 - Sep 2007,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
70,Ping Pong the Animation,8.62,TV (11 eps),Apr 2014 - Jun 2014,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
71,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.62,Movie (1 eps),Jun 2019 - Jun 2019,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
72,Shingeki no Kyojin Season 3,8.62,TV (12 eps),Jul 2018 - Oct 2018,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
73,Suzumiya Haruhi no Shoushitsu,8.62,Movie (1 eps),Feb 2010 - Feb 2010,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
74,Death Note,8.62,TV (37 eps),Oct 2006 - Jun 2007,https://myanimelist.net/anime/1535/Death_Note
75,Mushishi Zoku Shou: Suzu no Shizuku,8.60,Movie (1 eps),May 2015 - May 2015,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku
76,Ousama Ranking,8.60,TV (23 eps),Oct 2021 - Mar 2022,https://myanimelist.net/anime/40834/Ousama_Ranking
77,Ookami Kodomo no Ame to Yuki,8.59,Movie (1 eps),Jul 2012 - Jul 2012,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki
78,Hajime no Ippo: Rising,8.59,TV (25 eps),Oct 2013 - Mar 2014,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
79,Kizumonogatari II: Nekketsu-hen,8.59,Movie (1 eps),Aug 2016 - Aug 2016,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen
80,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,TV (39 eps),Oct 2018 - Jul 2019,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
81,Natsume Yuujinchou Go,8.58,TV (11 eps),Oct 2016 - Dec 2016,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
82,Natsume Yuujinchou San,8.58,TV (13 eps),Jul 2011 - Sep 2011,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
83,Shouwa Genroku Rakugo Shinjuu,8.58,TV (13 eps),Jan 2016 - Apr 2016,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
84,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,Movie (1 eps),Apr 2009 - Apr 2009,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
85,Yojouhan Shinwa Taikei,8.57,TV (11 eps),Apr 2010 - Jul 2010,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
86,Fate/Zero 2nd Season,8.56,TV (12 eps),Apr 2012 - Jun 2012,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
87,Fruits Basket 2nd Season,8.56,TV (25 eps),Apr 2020 - Sep 2020,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
88,Kimi no Suizou wo Tabetai,8.56,Movie (1 eps),Sep 2018 - Sep 2018,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
89,Neon Genesis Evangelion: The End of Evangelion,8.55,Movie (1 eps),Jul 1997 - Jul 1997,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
90,Shoujo☆Kageki Revue Starlight Movie,8.55,Movie (1 eps),Jun 2021 - Jun 2021,https://myanimelist.net/anime/40664/Shoujo☆Kageki_Revue_Starlight_Movie
91,Zoku Natsume Yuujinchou,8.55,TV (13 eps),Jan 2009 - Mar 2009,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
92,Mushishi: Hihamukage,8.54,Special (1 eps),Jan 2014 - Jan 2014,https://myanimelist.net/anime/21329/Mushishi__Hihamukage
93,Slam Dunk,8.54,TV (101 eps),Oct 1993 - Mar 1996,https://myanimelist.net/anime/170/Slam_Dunk
94,Bakuman. 3rd Season,8.54,TV (25 eps),Oct 2012 - Mar 2013,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
95,Haikyuu!! To the Top Part 2,8.54,TV (12 eps),Oct 2020 - Dec 2020,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2
96,Kara no Kyoukai Movie 5: Mujun Rasen,8.54,Movie (1 eps),Aug 2008 - Aug 2008,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_Movie_5__Mujun_Rasen
97,Kenpuu Denki Berserk,8.54,TV (25 eps),Oct 1997 - Apr 1998,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
98,Kimetsu no Yaiba,8.54,TV (26 eps),Apr 2019 - Sep 2019,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba
99,Gintama.: Porori-hen,8.53,TV (13 eps),Oct 2017 - Dec 2017,https://myanimelist.net/anime/35843/Gintama__Porori-hen
100,Perfect Blue,8.53,Movie (1 eps),Feb 1998 - Feb 1998,https://myanimelist.net/anime/437/Perfect_Blue
101,Shingeki no Kyojin,8.53,TV (25 eps),Apr 2013 - Sep 2013,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
102,Sora yori mo Tooi Basho,8.53,TV (13 eps),Jan 2018 - Mar 2018,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
103,Yakusoku no Neverland,8.53,TV (12 eps),Jan 2019 - Mar 2019,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
104,Yuru Camp△ Season 2,8.53,TV (13 eps),Jan 2021 - Apr 2021,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2
105,Nana,8.52,TV (47 eps),Apr 2006 - Mar 2007,https://myanimelist.net/anime/877/Nana
106,Steins;Gate 0,8.52,TV (23 eps),Apr 2018 - Sep 2018,https://myanimelist.net/anime/30484/Steins_Gate_0
107,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.52,Movie (1 eps),Jan 2019 - Jan 2019,https://myanimelist.net/anime/33049/Fate_stay_night_Movie__Heavens_Feel_-_II_Lost_Butterfly
108,Fruits Basket: Prelude,8.52,Movie (1 eps),Feb 2022 - Feb 2022,https://myanimelist.net/anime/49310/Fruits_Basket__Prelude
109,Gintama Movie 1: Shinyaku Benizakura-hen,8.52,Movie (1 eps),Apr 2010 - Apr 2010,https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
110,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52,TV (26 eps),Jan 2004 - Jan 2005,https://myanimelist.net/anime/801/Koukaku_Kidoutai__Stand_Alone_Complex_2nd_GIG
111,Jujutsu Kaisen 0 Movie,8.51,Movie (1 eps),Dec 2021 - Dec 2021,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie
112,One Punch Man,8.51,TV (12 eps),Oct 2015 - Dec 2015,https://myanimelist.net/anime/30276/One_Punch_Man
113,Samurai Champloo,8.50,TV (26 eps),May 2004 - Mar 2005,https://myanimelist.net/anime/205/Samurai_Champloo
114,Shingeki no Kyojin Season 2,8.50,TV (12 eps),Apr 2017 - Jun 2017,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2
115,Uchuu Kyoudai,8.50,TV (99 eps),Apr 2012 - Mar 2014,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
116,Ansatsu Kyoushitsu 2nd Season,8.50,TV (25 eps),Jan 2016 - Jul 2016,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
117,Banana Fish,8.50,TV (24 eps),Jul 2018 - Dec 2018,https://myanimelist.net/anime/36649/Banana_Fish
118,Hotaru no Haka,8.50,Movie (1 eps),Apr 1988 - Apr 1988,https://myanimelist.net/anime/578/Hotaru_no_Haka
119,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,TV (39 eps),Apr 2016 - Dec 2016,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
120,Aria the Origination,8.49,TV (13 eps),Jan 2008 - Apr 2008,https://myanimelist.net/anime/3297/Aria_the_Origination
121,Rainbow: Nisha Rokubou no Shichinin,8.49,TV (26 eps),Apr 2010 - Sep 2010,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
122,Tian Guan Ci Fu Special,8.49,ONA (1 eps),Feb 2021 - Feb 2021,https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special
123,Mob Psycho 100,8.48,TV (12 eps),Jul 2016 - Sep 2016,https://myanimelist.net/anime/32182/Mob_Psycho_100
124,Karakai Jouzu no Takagi-san 3,8.48,TV (12 eps),Jan 2022 - Mar 2022,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3
125,Chihayafuru 3,8.47,TV (24 eps),Oct 2019 - Mar 2020,https://myanimelist.net/anime/37379/Chihayafuru_3
126,Gintama: The Semi-Final,8.47,Special (2 eps),Jan 2021 - Jan 2021,https://myanimelist.net/anime/44087/Gintama__The_Semi-Final
127,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.47,TV (12 eps),Jan 2021 - Mar 2021,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2
128,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.46,Movie (1 eps),Oct 2013 - Oct 2013,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari
129,Mo Dao Zu Shi,8.46,ONA (15 eps),Jul 2018 - Oct 2018,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi
130,Nichijou,8.46,TV (26 eps),Apr 2011 - Sep 2011,https://myanimelist.net/anime/10165/Nichijou
131,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.46,Movie (1 eps),Apr 2013 - Apr 2013,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
132,Zoku Owarimonogatari,8.46,Movie (6 eps),Nov 2018 - Nov 2018,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari
133,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.46,Movie (1 eps),Aug 2019 - Aug 2019,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu
134,Golden Kamuy 3rd Season,8.45,TV (12 eps),Oct 2020 - Dec 2020,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season
135,Haikyuu!!,8.45,TV (25 eps),Apr 2014 - Sep 2014,https://myanimelist.net/anime/20583/Haikyuu
136,Mo Dao Zu Shi: Xian Yun Pian,8.45,ONA (8 eps),Aug 2019 - Sep 2019,https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian
137,Owarimonogatari,8.45,TV (12 eps),Oct 2015 - Dec 2015,https://myanimelist.net/anime/31181/Owarimonogatari
138,Saenai Heroine no Sodatekata Fine,8.45,Movie (1 eps),Oct 2019 - Oct 2019,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine
139,Summertime Render,8.45,TV (25 eps),Apr 2022 -,https://myanimelist.net/anime/47194/Summertime_Render
140,Yuu☆Yuu☆Hakusho,8.45,TV (112 eps),Oct 1992 - Jan 1995,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
141,Mushishi Zoku Shou: Odoro no Michi,8.44,Special (1 eps),Aug 2014 - Aug 2014,https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi
142,Vivy: Fluorite Eye's Song,8.44,TV (13 eps),Apr 2021 - Jun 2021,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song
143,Wu Liuqi Zhi Xuanwu Guo Pian,8.44,ONA (10 eps),Jan 2021 - May 2021,https://myanimelist.net/anime/45556/Wu_Liuqi_Zhi_Xuanwu_Guo_Pian
144,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44,TV (24 eps),Jan 2015 - Jun 2015,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season
145,Josee to Tora to Sakana-tachi,8.44,Movie (1 eps),Dec 2020 - Dec 2020,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi
146,Gintama: Yorinuki Gintama-san on Theater 2D,8.43,Movie (2 eps),Aug 2012 - Aug 2012,https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D
147,Grand Blue,8.43,TV (12 eps),Jul 2018 - Sep 2018,https://myanimelist.net/anime/37105/Grand_Blue
148,Kono Oto Tomare! Part 2,8.43,TV (13 eps),Oct 2019 - Dec 2019,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2
149,Koukaku Kidoutai: Stand Alone Complex,8.43,TV (26 eps),Oct 2002 - Oct 2003,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex
150,Mononoke,8.43,TV (12 eps),Jul 2007 - Sep 2007,https://myanimelist.net/anime/2246/Mononoke
151,Saiki Kusuo no Ψ-nan,8.43,TV (120 eps),Jul 2016 - Dec 2016,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_Ψ-nan
152,Saiki Kusuo no Ψ-nan 2,8.43,TV (24 eps),Jan 2018 - Jun 2018,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_Ψ-nan_2
153,Major S5,8.41,TV (25 eps),Jan 2009 - Jun 2009,https://myanimelist.net/anime/5028/Major_S5
154,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.41,Movie (1 eps),Sep 2018 - Sep 2018,https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu
155,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.41,Movie (1 eps),Feb 2018 - Feb 2018,https://myanimelist.net/anime/35851/Sayonara_no_Asa_ni_Yakusoku_no_Hana_wo_Kazarou
156,Shingeki no Kyojin: Kuinaki Sentaku,8.41,OVA (2 eps),Dec 2014 - Apr 2015,https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku
157,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41,Movie (1 eps),Sep 2019 - Sep 2019,https://myanimelist.net/anime/39741/Violet_Evergarden_Gaiden__Eien_to_Jidou_Shuki_Ningyou
158,Dr. Stone: Ryuusui,8.41,Special (1 eps),Jul 2022 - Jul 2022,https://myanimelist.net/anime/50612/Dr_Stone__Ryuusui
159,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41,TV (12 eps),Jan 2019 - Mar 2019,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen
160,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.41,Movie (1 eps),Aug 2009 - Aug 2009,https://myanimelist.net/anime/5205/Kara_no_Kyoukai_Movie_7__Satsujin_Kousatsu_Go
161,Cross Game,8.40,TV (50 eps),Apr 2009 - Mar 2010,https://myanimelist.net/anime/5941/Cross_Game
162,Gintama°: Aizome Kaori-hen,8.40,OVA (2 eps),Aug 2016 - Nov 2016,https://myanimelist.net/anime/32366/Gintama°__Aizome_Kaori-hen
163,Houseki no Kuni (TV),8.40,TV (12 eps),Oct 2017 - Dec 2017,https://myanimelist.net/anime/35557/Houseki_no_Kuni_TV
164,Hunter x Hunter,8.40,TV (62 eps),Oct 1999 - Mar 2001,https://myanimelist.net/anime/136/Hunter_x_Hunter
165,Kaze ga Tsuyoku Fuiteiru,8.40,TV (23 eps),Oct 2018 - Mar 2019,https://myanimelist.net/anime/37965/Kaze_ga_Tsuyoku_Fuiteiru
166,Non Non Biyori Nonstop,8.40,TV (12 eps),Jan 2021 - Mar 2021,https://myanimelist.net/anime/39808/Non_Non_Biyori_Nonstop
167,Tensei shitara Slime Datta Ken 2nd Season,8.40,TV (12 eps),Jan 2021 - Mar 2021,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season
168,Yoru ni Kakeru,8.40,Music (1 eps),Nov 2019 - Nov 2019,https://myanimelist.net/anime/48653/Yoru_ni_Kakeru
169,Natsume Yuujinchou Roku Specials,8.39,Special (2 eps),Sep 2017 - Oct 2017,https://myanimelist.net/anime/36275/Natsume_Yuujinchou_Roku_Specials
170,Tian Guan Ci Fu,8.39,ONA (11 eps),Oct 2020 - Jan 2021,https://myanimelist.net/anime/40730/Tian_Guan_Ci_Fu
171,3-gatsu no Lion,8.39,TV (22 eps),Oct 2016 - Mar 2017,https://myanimelist.net/anime/31646/3-gatsu_no_Lion
172,Barakamon,8.39,TV (12 eps),Jul 2014 - Sep 2014,https://myanimelist.net/anime/22789/Barakamon
